expiration,strike,premium,bid,ask,lastPrice,volume,openInterest,used_fallback,premium_to_strike
2026-08-25,495.0,0.01,0.0,0.0,0.01,90.0,560.0,True,2.0202020202020203e-05
2026-08-25,500.0,0.01,0.0,0.0,0.01,56.0,1721.0,True,2e-05
2026-08-25,505.0,0.01,0.0,0.0,0.01,48.0,50.0,True,1.9801980198019803e-05
2026-08-25,510.0,0.01,0.0,0.0,0.01,195.0,197.0,True,1.9607843137254903e-05
2026-08-25,515.0,0.01,0.0,0.0,0.01,2793.0,2714.0,True,1.941747572815534e-05
2026-08-25,520.0,0.01,0.0,0.0,0.01,2667.0,2826.0,True,1.923076923076923e-05
2026-08-25,525.0,0.01,0.0,0.0,0.01,7797.0,7747.0,True,1.904761904761905e-05
2026-08-25,530.0,0.01,0.0,0.0,0.01,31518.0,33158.0,True,1.8867924528301888e-05
2026-08-25,535.0,0.01,0.0,0.0,0.01,26504.0,26496.0,True,1.869158878504673e-05
2026-08-25,540.0,0.01,0.0,0.0,0.01,676.0,677.0,True,1.8518518518518518e-05
2026-08-25,545.0,0.01,0.0,0.0,0.01,8.0,18.0,True,1.834862385321101e-05
2026-08-25,550.0,0.02,0.0,0.0,0.02,27.0,32.0,True,3.6363636363636364e-05
2026-08-25,555.0,0.01,0.0,0.0,0.01,302.0,327.0,True,1.801801801801802e-05
2026-08-25,560.0,0.01,0.0,0.0,0.01,7157.0,7113.0,True,1.785714285714286e-05
2026-08-25,565.0,0.01,0.0,0.0,0.01,677.0,677.0,True,1.7699115044247787e-05
2026-08-25,575.0,0.01,0.0,0.0,0.01,52.0,52.0,True,1.739130434782609e-05
2026-08-25,580.0,0.01,0.0,0.0,0.01,58.0,1777.0,True,1.7241379310344828e-05
2026-08-25,585.0,0.01,0.0,0.0,0.01,124.0,407.0,True,1.7094017094017095e-05
2026-08-25,590.0,0.01,0.0,0.0,0.01,138.0,138.0,True,1.694915254237288e-05
2026-08-25,595.0,0.02,0.0,0.0,0.02,256.0,237.0,True,3.361344537815126e-05
2026-08-25,600.0,0.01,0.0,0.0,0.01,407.0,1195.0,True,1.6666666666666667e-05
2026-08-25,605.0,0.02,0.0,0.0,0.02,1.0,13.0,True,3.305785123966942e-05
2026-08-25,610.0,0.02,0.0,0.0,0.02,101.0,1061.0,True,3.278688524590164e-05
2026-08-25,615.0,0.01,0.0,0.0,0.01,83.0,110.0,True,1.6260162601626018e-05
2026-08-25,620.0,0.01,0.0,0.0,0.01,11.0,13.0,True,1.6129032258064517e-05
2026-08-25,625.0,0.01,0.0,0.0,0.01,69.0,71.0,True,1.6e-05
2026-08-25,630.0,0.01,0.0,0.0,0.01,413.0,444.0,True,1.5873015873015872e-05
2026-08-25,635.0,0.02,0.0,0.0,0.02,795.0,778.0,True,3.1496062992125985e-05
2026-08-25,640.0,0.01,0.0,0.0,0.01,24.0,45.0,True,1.5625e-05
2026-08-25,645.0,0.01,0.0,0.0,0.01,57.0,77.0,True,1.5503875968992248e-05
2026-08-25,650.0,0.02,0.0,0.0,0.02,394.0,2867.0,True,3.076923076923077e-05
2026-08-25,655.0,0.02,0.0,0.0,0.02,3845.0,3975.0,True,3.0534351145038166e-05
2026-08-25,660.0,0.02,0.0,0.0,0.02,659.0,721.0,True,3.0303030303030302e-05
2026-08-25,665.0,0.02,0.0,0.0,0.02,1553.0,1840.0,True,3.007518796992481e-05
2026-08-25,670.0,0.02,0.0,0.0,0.02,706.0,2610.0,True,2.9850746268656717e-05
2026-08-25,671.0,0.01,0.0,0.0,0.01,1338.0,681.0,True,1.4903129657228018e-05
2026-08-25,672.0,0.02,0.0,0.0,0.02,3036.0,1464.0,True,2.9761904761904762e-05
2026-08-25,673.0,0.02,0.0,0.0,0.02,4675.0,1883.0,True,2.971768202080238e-05
2026-08-25,674.0,0.02,0.0,0.0,0.02,6681.0,1978.0,True,2.967359050445104e-05
